violence_physique,ctrl_score,ethnicite,transmission_intergen,alcool_partenaire,ecart_age,age_femme,religion,age_partenaire,region,occupation_partenaire,age_premiere_union,age_premier_rapport,richesse,education_partenaire,education_femme,attitude_score,autonomie_score,polygamie,residence_partenaire,milieu
0,0,3,0.0,,11.0,18,4,29.0,7,62.0,17,17.0,2,0.0,0,0.0,0,0.0,1.0,2
0,3,102,1.0,2.0,,40,2,,7,,20,18.0,2,,0,0.0,0,,,2
1,4,102,1.0,1.0,12.0,23,1,35.0,7,62.0,15,16.0,3,0.0,0,0.0,0,1.0,1.0,2
1,1,62,0.0,,16.0,19,4,35.0,7,11.0,15,15.0,1,0.0,0,0.0,0,1.0,1.0,2
0,0,102,,2.0,19.0,45,2,64.0,7,77.0,18,14.0,1,1.0,0,0.0,0,0.0,1.0,2
0,2,102,1.0,,5.0,40,2,45.0,7,11.0,14,14.0,3,1.0,0,0.0,0,3.0,1.0,2
1,4,102,1.0,2.0,8.0,26,1,34.0,7,11.0,15,15.0,2,1.0,0,0.0,0,1.0,1.0,2
0,0,102,0.0,2.0,4.0,28,1,32.0,7,11.0,19,15.0,1,0.0,0,0.0,0,0.0,1.0,2
1,2,102,1.0,1.0,4.0,23,1,27.0,7,11.0,13,13.0,1,1.0,0,0.0,0,0.0,1.0,2
1,2,102,1.0,1.0,2.0,36,1,38.0,7,11.0,15,15.0,1,1.0,0,0.0,0,0.0,1.0,2
1,0,102,0.0,,2.0,35,4,37.0,7,66.0,17,17.0,2,1.0,1,0.0,0,0.0,1.0,2
1,4,232,,1.0,13.0,46,2,59.0,2,11.0,18,17.0,2,2.0,1,0.0,3,0.0,1.0,2
1,2,232,,0.0,5.0,22,2,27.0,2,66.0,16,15.0,2,2.0,2,0.0,1,1.0,1.0,2
1,0,232,1.0,,13.0,26,3,39.0,2,33.0,21,17.0,4,3.0,1,3.0,0,0.0,1.0,2
1,5,232,1.0,,,27,2,,2,,16,15.0,3,,2,0.0,0,,,2
1,3,232,0.0,,,45,2,,2,,29,23.0,2,,2,0.0,0,,,2
0,0,232,0.0,,16.0,29,2,45.0,2,11.0,19,17.0,3,0.0,0,0.0,0,0.0,1.0,2
0,0,232,0.0,,3.0,36,2,39.0,2,11.0,17,17.0,4,2.0,2,0.0,0,0.0,1.0,2
1,1,232,0.0,2.0,12.0,26,1,38.0,2,11.0,16,15.0,4,1.0,2,0.0,1,0.0,1.0,2
0,0,232,0.0,,,48,2,,2,,16,16.0,4,,1,0.0,0,,,2
0,0,232,,,,38,1,,12,,20,17.0,5,,3,0.0,0,,,1
0,0,190,0.0,1.0,15.0,21,1,36.0,12,62.0,20,20.0,4,1.0,2,0.0,0,0.0,1.0,1
1,2,155,0.0,2.0,8.0,37,3,45.0,12,66.0,19,16.0,3,1.0,1,0.0,0,0.0,1.0,1
0,3,190,,1.0,13.0,46,1,59.0,12,62.0,23,20.0,4,,2,0.0,0,,1.0,1
0,0,179,0.0,,,41,1,,12,,18,18.0,4,,2,0.0,0,,,1
1,2,179,,2.0,,30,1,,12,,10,,3,,1,0.0,0,,,1
1,1,996,0.0,1.0,11.0,29,1,40.0,12,64.0,16,,3,,0,0.0,0,0.0,1.0,1
0,4,232,,,0.0,27,2,27.0,12,66.0,20,20.0,4,0.0,3,0.0,0,,1.0,1
0,2,152,0.0,0.0,12.0,26,2,38.0,12,41.0,13,14.0,4,2.0,1,0.0,1,,1.0,1
1,4,176,1.0,,10.0,35,4,45.0,9,62.0,16,15.0,3,1.0,1,0.0,1,0.0,1.0,2
0,1,176,0.0,,8.0,15,4,23.0,9,62.0,15,15.0,3,2.0,1,3.0,0,0.0,2.0,2
0,0,2,0.0,,14.0,39,4,53.0,9,12.0,14,,2,0.0,0,3.0,0,1.0,1.0,2
0,2,2,0.0,,12.0,28,4,40.0,9,62.0,19,15.0,2,1.0,1,4.0,0,1.0,2.0,2
0,2,176,0.0,,16.0,46,4,62.0,9,77.0,39,16.0,2,1.0,2,1.0,0,1.0,1.0,2
0,2,176,0.0,,14.0,44,4,58.0,9,11.0,17,18.0,2,0.0,1,0.0,0,0.0,1.0,2
1,2,176,0.0,,3.0,19,4,22.0,9,66.0,18,16.0,3,2.0,1,3.0,0,0.0,1.0,2
0,1,176,0.0,,8.0,34,4,42.0,9,66.0,18,19.0,2,2.0,1,5.0,0,0.0,1.0,2
0,3,216,0.0,,22.0,28,4,50.0,9,12.0,10,14.0,3,0.0,1,5.0,0,1.0,1.0,2
0,0,2,0.0,,5.0,45,4,50.0,9,11.0,16,15.0,2,0.0,0,3.0,0,0.0,1.0,2
1,1,176,0.0,,20.0,48,4,68.0,9,11.0,21,18.0,3,1.0,0,2.0,0,0.0,1.0,2
0,0,2,0.0,,,44,4,,9,,25,15.0,3,,1,2.0,0,,,2
0,1,996,0.0,,,31,4,,9,,26,20.0,2,,1,1.0,0,,,2
0,3,176,0.0,,6.0,19,4,25.0,9,78.0,18,18.0,2,2.0,1,1.0,0,0.0,2.0,2
1,1,176,1.0,,13.0,49,4,62.0,9,11.0,15,15.0,4,1.0,1,0.0,0,0.0,1.0,2
0,0,176,0.0,,5.0,22,4,27.0,9,62.0,16,16.0,2,1.0,1,0.0,0,0.0,1.0,2
1,1,176,1.0,,13.0,45,4,58.0,9,11.0,13,14.0,3,1.0,1,5.0,0,0.0,1.0,2
1,3,202,0.0,1.0,,25,1,,6,,18,17.0,3,,2,0.0,0,,,1
0,2,213,0.0,0.0,5.0,35,1,40.0,6,72.0,18,16.0,4,3.0,1,1.0,1,0.0,1.0,1
0,0,232,0.0,,1.0,42,3,43.0,6,62.0,19,18.0,5,2.0,2,0.0,0,0.0,1.0,1
1,4,173,0.0,2.0,,30,2,,6,,22,18.0,3,,2,0.0,0,,,1
1,0,176,0.0,,4.0,28,2,32.0,6,11.0,20,18.0,4,2.0,2,0.0,1,0.0,2.0,1
0,3,202,0.0,,5.0,28,2,33.0,6,96.0,20,17.0,4,2.0,1,0.0,0,0.0,1.0,1
0,4,202,0.0,1.0,8.0,48,1,56.0,6,11.0,20,15.0,4,1.0,2,0.0,0,0.0,1.0,1
1,2,232,0.0,,9.0,38,7,47.0,6,32.0,27,20.0,3,1.0,1,1.0,0,0.0,2.0,1
1,4,193,0.0,1.0,,45,2,,6,,27,16.0,4,,2,0.0,0,,,1
0,0,202,1.0,,12.0,23,1,35.0,6,82.0,16,18.0,5,2.0,2,0.0,0,,1.0,1
0,2,245,0.0,0.0,5.0,25,2,30.0,3,75.0,21,17.0,5,3.0,3,0.0,0,0.0,1.0,1
0,0,167,,,7.0,28,1,35.0,3,62.0,12,18.0,5,2.0,2,0.0,0,0.0,1.0,1
0,0,3,0.0,,2.0,29,4,31.0,3,66.0,18,18.0,4,2.0,1,0.0,0,0.0,1.0,1
0,0,261,0.0,,10.0,40,1,50.0,3,62.0,12,18.0,5,1.0,2,0.0,0,0.0,1.0,1
0,0,3,0.0,,19.0,40,4,59.0,3,53.0,23,22.0,5,3.0,2,0.0,0,0.0,1.0,1
0,0,202,1.0,,16.0,48,2,64.0,3,62.0,20,20.0,5,2.0,1,0.0,3,1.0,2.0,1
0,1,261,0.0,,9.0,32,3,41.0,3,73.0,19,19.0,5,1.0,2,3.0,0,0.0,1.0,1
0,0,3,1.0,2.0,4.0,26,2,30.0,3,66.0,19,18.0,4,2.0,1,0.0,0,0.0,1.0,1
0,2,262,0.0,,20.0,28,4,48.0,3,62.0,15,15.0,4,0.0,0,0.0,0,0.0,1.0,1
0,0,3,0.0,,20.0,18,4,38.0,3,62.0,16,16.0,4,1.0,2,0.0,0,0.0,1.0,1
0,1,245,0.0,,8.0,33,2,41.0,10,41.0,22,15.0,3,3.0,2,0.0,0,0.0,2.0,2
0,0,245,0.0,,4.0,38,2,42.0,10,44.0,23,16.0,3,3.0,2,0.0,0,0.0,1.0,2
1,4,245,1.0,2.0,11.0,31,2,42.0,10,11.0,17,17.0,3,3.0,1,1.0,0,0.0,1.0,2
0,1,245,1.0,2.0,7.0,26,2,33.0,10,43.0,25,17.0,3,3.0,2,2.0,0,,2.0,2
1,3,245,1.0,,2.0,23,2,25.0,10,0.0,16,15.0,3,2.0,2,1.0,0,0.0,1.0,2
0,5,245,0.0,2.0,5.0,22,2,27.0,10,82.0,20,15.0,2,2.0,2,0.0,0,0.0,1.0,2
0,0,236,0.0,,13.0,25,1,38.0,10,66.0,24,19.0,3,2.0,2,0.0,0,0.0,1.0,2
0,0,236,1.0,,8.0,41,3,49.0,2,11.0,20,15.0,3,2.0,2,0.0,0,0.0,1.0,2
1,1,235,0.0,2.0,13.0,32,1,45.0,2,82.0,15,14.0,5,3.0,2,0.0,0,0.0,1.0,2
1,1,236,0.0,2.0,18.0,42,2,60.0,2,11.0,16,15.0,2,1.0,1,0.0,0,0.0,1.0,2
1,3,236,0.0,,,19,1,,2,,17,14.0,2,,2,0.0,0,,,2
1,4,236,1.0,1.0,23.0,42,2,65.0,2,62.0,18,15.0,2,1.0,1,1.0,0,0.0,1.0,2
1,1,232,0.0,2.0,8.0,20,1,28.0,2,66.0,17,15.0,2,2.0,2,0.0,0,0.0,1.0,2
0,3,242,0.0,,7.0,34,3,41.0,2,11.0,21,13.0,2,2.0,1,0.0,0,0.0,1.0,2
1,4,236,0.0,,,37,1,,2,,29,15.0,2,,2,0.0,0,,,2
0,0,185,0.0,,,35,1,,9,,17,15.0,3,,0,0.0,0,,,2
0,0,202,0.0,,,45,2,,9,,17,16.0,2,,1,0.0,0,,,2
1,0,202,0.0,2.0,,30,1,,9,,11,14.0,3,,1,0.0,0,,,2
1,1,198,,0.0,16.0,44,7,60.0,9,0.0,21,16.0,2,0.0,1,1.0,2,3.0,1.0,2
0,1,190,0.0,1.0,15.0,30,7,45.0,9,77.0,18,15.0,2,1.0,0,0.0,0,0.0,2.0,2
0,0,202,0.0,0.0,12.0,42,1,54.0,9,62.0,25,16.0,2,1.0,2,3.0,0,1.0,2.0,2
0,1,190,0.0,0.0,10.0,48,1,58.0,9,71.0,16,15.0,3,1.0,1,0.0,0,4.0,2.0,2
1,1,202,0.0,2.0,,27,3,,9,,24,17.0,2,,1,0.0,0,,,2
0,0,202,1.0,1.0,,38,1,,9,,15,14.0,2,,2,4.0,0,,,2
0,0,190,0.0,0.0,24.0,41,1,65.0,9,62.0,16,14.0,2,1.0,1,0.0,3,1.0,1.0,2
0,0,185,0.0,1.0,19.0,33,1,52.0,9,96.0,16,16.0,3,0.0,0,0.0,0,0.0,2.0,2
0,0,31,0.0,,6.0,28,5,34.0,5,11.0,13,14.0,1,0.0,0,0.0,0,1.0,1.0,2
0,3,101,0.0,,1.0,20,1,21.0,5,11.0,18,19.0,1,0.0,0,2.0,1,0.0,1.0,2
0,1,31,0.0,,9.0,37,1,46.0,5,11.0,18,15.0,2,0.0,0,1.0,1,0.0,1.0,2
1,2,31,0.0,1.0,4.0,20,1,24.0,5,11.0,16,16.0,1,0.0,0,1.0,1,0.0,1.0,2
0,2,31,0.0,,5.0,35,1,40.0,5,11.0,21,21.0,1,0.0,0,2.0,1,0.0,1.0,2
0,2,31,0.0,1.0,11.0,39,1,50.0,5,11.0,29,16.0,1,0.0,0,0.0,0,0.0,1.0,2
0,0,31,0.0,,14.0,27,4,41.0,5,72.0,16,16.0,1,2.0,0,0.0,0,0.0,1.0,2
0,5,31,0.0,,6.0,29,4,35.0,5,11.0,20,21.0,2,1.0,2,0.0,0,1.0,1.0,2
0,0,31,0.0,,10.0,25,1,35.0,5,11.0,16,15.0,1,0.0,2,0.0,0,0.0,1.0,2
1,4,31,0.0,2.0,7.0,29,1,36.0,5,11.0,18,17.0,1,0.0,2,3.0,1,0.0,1.0,2
0,1,88,0.0,2.0,14.0,25,2,39.0,8,54.0,22,17.0,2,2.0,2,2.0,0,0.0,1.0,1
0,0,167,1.0,,3.0,34,1,37.0,8,0.0,30,18.0,3,3.0,3,0.0,0,0.0,2.0,1
0,4,167,0.0,1.0,4.0,17,2,21.0,8,66.0,16,15.0,3,2.0,2,1.0,0,0.0,2.0,1
1,1,167,1.0,,,29,4,,8,,20,18.0,2,,1,0.0,0,,,1
0,1,167,0.0,1.0,,43,1,,8,,32,17.0,4,,2,0.0,0,,,1
0,1,229,1.0,,2.0,33,1,35.0,4,62.0,22,17.0,5,3.0,3,0.0,0,0.0,1.0,1
0,2,256,,2.0,13.0,27,1,40.0,4,21.0,18,13.0,5,3.0,2,0.0,3,1.0,2.0,1
0,0,185,0.0,,10.0,32,1,42.0,4,96.0,19,15.0,3,,1,0.0,0,0.0,1.0,1
0,2,256,0.0,,15.0,25,2,40.0,4,21.0,23,12.0,4,2.0,1,0.0,0,1.0,1.0,1
0,0,254,0.0,0.0,6.0,34,2,40.0,4,46.0,18,14.0,4,2.0,2,0.0,0,0.0,2.0,1
0,3,235,1.0,1.0,8.0,28,1,36.0,4,33.0,21,16.0,5,2.0,2,0.0,0,0.0,1.0,1
1,1,236,1.0,2.0,2.0,34,1,36.0,4,21.0,24,16.0,5,3.0,3,0.0,2,0.0,1.0,1
1,0,253,1.0,,7.0,25,3,32.0,4,66.0,21,15.0,4,1.0,2,0.0,0,0.0,1.0,1
0,5,257,0.0,,14.0,27,3,41.0,4,66.0,22,18.0,3,1.0,1,0.0,0,0.0,1.0,1
1,4,234,1.0,0.0,6.0,22,1,28.0,4,36.0,22,18.0,4,3.0,2,0.0,0,0.0,2.0,1
0,2,208,0.0,0.0,6.0,29,2,35.0,4,33.0,21,20.0,5,2.0,3,0.0,0,0.0,1.0,1
0,4,256,0.0,,4.0,28,1,32.0,4,61.0,18,16.0,4,2.0,2,0.0,1,0.0,1.0,1
1,5,173,1.0,1.0,,31,2,,4,,17,13.0,5,,2,0.0,0,,,1
1,4,234,0.0,1.0,,33,1,,4,,14,14.0,4,,2,0.0,0,,,1
1,1,261,0.0,2.0,0.0,31,1,31.0,7,11.0,18,18.0,1,1.0,1,2.0,0,1.0,1.0,2
0,0,3,0.0,,8.0,24,4,32.0,7,78.0,16,18.0,3,1.0,2,1.0,0,0.0,1.0,2
0,0,3,0.0,,23.0,34,4,57.0,7,62.0,22,22.0,3,0.0,0,0.0,0,1.0,1.0,2
0,1,3,0.0,,16.0,25,4,41.0,7,11.0,14,14.0,2,1.0,0,0.0,0,0.0,1.0,2
0,0,1,0.0,,11.0,29,4,40.0,7,62.0,12,12.0,2,0.0,0,0.0,0,0.0,1.0,2
0,0,1,0.0,,16.0,18,4,34.0,7,62.0,16,17.0,4,0.0,1,2.0,0,0.0,2.0,2
1,1,55,0.0,1.0,8.0,40,1,48.0,7,11.0,29,15.0,1,0.0,0,0.0,0,0.0,1.0,2
0,0,3,0.0,,14.0,18,4,32.0,7,62.0,14,16.0,3,0.0,0,0.0,0,0.0,2.0,2
0,1,45,0.0,,11.0,24,2,35.0,7,11.0,16,16.0,2,,0,0.0,0,0.0,1.0,2
1,1,996,1.0,,8.0,27,2,35.0,7,82.0,18,18.0,1,2.0,1,4.0,0,0.0,2.0,2
0,1,3,0.0,,6.0,39,4,45.0,7,96.0,14,14.0,1,0.0,0,4.0,0,0.0,1.0,2
0,2,98,0.0,,11.0,24,3,35.0,7,72.0,20,20.0,2,2.0,1,1.0,0,0.0,1.0,2
0,1,18,0.0,,3.0,24,2,27.0,7,11.0,17,16.0,2,1.0,1,0.0,0,0.0,1.0,2
0,1,31,0.0,,14.0,32,2,46.0,7,12.0,23,21.0,1,1.0,1,0.0,0,0.0,1.0,2
0,0,261,0.0,,27.0,22,4,49.0,7,62.0,18,18.0,2,1.0,1,0.0,0,0.0,1.0,2
0,1,1,0.0,,9.0,25,4,34.0,7,11.0,15,15.0,3,0.0,0,0.0,0,0.0,1.0,2
0,0,31,0.0,,11.0,27,2,38.0,7,76.0,13,16.0,1,2.0,1,0.0,0,0.0,1.0,2
1,0,203,0.0,,7.0,23,3,30.0,4,54.0,19,13.0,1,1.0,1,0.0,3,0.0,1.0,2
1,5,203,0.0,1.0,,35,3,,4,,21,15.0,2,,2,0.0,0,,,2
1,0,203,1.0,2.0,3.0,43,3,46.0,4,11.0,17,15.0,2,2.0,1,0.0,2,0.0,1.0,2
0,0,203,1.0,2.0,7.0,38,2,45.0,4,11.0,21,15.0,2,2.0,1,2.0,0,0.0,1.0,2
1,4,203,1.0,1.0,5.0,40,3,45.0,4,11.0,13,13.0,1,2.0,2,0.0,0,0.0,1.0,2
0,0,203,0.0,2.0,18.0,24,3,42.0,4,11.0,17,13.0,1,2.0,2,0.0,0,0.0,1.0,2
1,3,203,1.0,,10.0,25,3,35.0,4,15.0,15,14.0,1,1.0,1,2.0,0,0.0,2.0,2
1,5,203,1.0,1.0,,38,2,,4,,18,14.0,2,,0,0.0,0,,,2
1,5,203,1.0,1.0,,35,1,,4,,15,14.0,2,,1,0.0,0,,,2
1,5,203,1.0,,6.0,19,3,25.0,4,11.0,16,13.0,1,1.0,2,1.0,1,0.0,1.0,2
1,5,203,1.0,,12.0,42,2,54.0,4,11.0,28,16.0,1,2.0,2,5.0,0,0.0,1.0,2
0,5,996,1.0,,6.0,32,2,38.0,4,11.0,12,13.0,2,1.0,1,3.0,0,0.0,1.0,2
0,2,203,1.0,,15.0,23,2,38.0,4,15.0,15,15.0,1,1.0,1,4.0,0,1.0,1.0,2
1,3,173,1.0,1.0,8.0,32,3,40.0,6,11.0,24,19.0,3,2.0,2,0.0,3,0.0,2.0,1
0,0,216,0.0,1.0,8.0,17,2,25.0,6,62.0,16,16.0,3,2.0,2,3.0,2,0.0,1.0,1
0,3,216,1.0,,38.0,35,2,73.0,6,11.0,14,15.0,4,2.0,1,4.0,0,1.0,1.0,1
0,0,216,0.0,,6.0,16,2,22.0,6,0.0,16,16.0,3,2.0,2,0.0,0,0.0,2.0,1
1,0,216,0.0,1.0,6.0,38,2,44.0,6,11.0,18,16.0,3,2.0,1,0.0,0,0.0,1.0,1
1,5,216,0.0,0.0,7.0,17,2,24.0,6,66.0,16,15.0,3,2.0,2,0.0,0,0.0,1.0,1
1,1,216,0.0,2.0,-1.0,33,2,32.0,6,11.0,22,18.0,3,1.0,1,3.0,0,0.0,1.0,1
0,2,216,0.0,,14.0,26,2,40.0,6,11.0,14,14.0,2,2.0,1,2.0,0,0.0,1.0,1
1,2,216,,0.0,7.0,35,2,42.0,6,62.0,15,16.0,3,2.0,2,0.0,0,0.0,1.0,1
1,0,216,0.0,0.0,5.0,43,2,48.0,6,11.0,17,16.0,3,1.0,1,0.0,0,1.0,1.0,1
1,5,216,0.0,1.0,1.0,43,2,44.0,6,32.0,22,17.0,2,2.0,2,0.0,3,0.0,1.0,1
0,1,216,0.0,2.0,5.0,42,1,47.0,6,32.0,23,16.0,2,,1,0.0,0,0.0,1.0,1
1,2,216,,2.0,13.0,43,1,56.0,6,11.0,24,18.0,3,,1,2.0,0,0.0,1.0,1
0,0,201,0.0,1.0,5.0,35,2,40.0,3,66.0,20,20.0,5,2.0,2,0.0,0,0.0,1.0,1
0,0,202,0.0,1.0,9.0,28,1,37.0,3,62.0,22,18.0,4,1.0,2,0.0,0,0.0,1.0,1
0,0,202,0.0,,6.0,23,2,29.0,3,24.0,19,20.0,5,3.0,2,0.0,0,0.0,1.0,1
0,1,167,0.0,,7.0,28,3,35.0,3,66.0,28,28.0,5,1.0,2,0.0,0,0.0,1.0,1
0,0,202,0.0,,,47,2,,3,,17,18.0,5,,2,0.0,0,,,1
1,1,88,1.0,2.0,10.0,32,2,42.0,3,73.0,17,18.0,5,1.0,2,0.0,0,,1.0,1
0,0,188,0.0,2.0,,42,2,,3,,21,20.0,5,,2,0.0,0,,,1
1,1,185,1.0,2.0,9.0,45,1,54.0,3,66.0,16,15.0,5,3.0,3,0.0,2,0.0,1.0,1
0,3,31,1.0,1.0,5.0,16,2,21.0,3,66.0,15,16.0,4,1.0,1,1.0,0,0.0,1.0,1
0,0,169,0.0,2.0,12.0,30,2,42.0,3,75.0,19,19.0,5,2.0,1,0.0,0,0.0,1.0,1
0,0,202,0.0,2.0,7.0,27,1,34.0,3,31.0,23,23.0,5,3.0,3,0.0,0,0.0,1.0,1
0,0,55,0.0,,7.0,34,1,41.0,7,11.0,21,20.0,5,2.0,2,0.0,0,0.0,1.0,1
0,1,31,0.0,,6.0,33,2,39.0,7,54.0,22,21.0,4,3.0,2,1.0,0,0.0,1.0,1
0,0,77,0.0,,12.0,40,4,52.0,7,78.0,15,16.0,3,0.0,1,0.0,0,0.0,1.0,1
0,0,18,0.0,2.0,2.0,28,1,30.0,7,66.0,28,16.0,3,1.0,1,0.0,2,0.0,1.0,1
0,0,101,1.0,,,30,1,,7,,12,15.0,3,,0,0.0,0,,,1
1,1,256,1.0,2.0,5.0,30,2,35.0,7,44.0,16,11.0,4,3.0,2,0.0,0,0.0,1.0,1
0,1,202,0.0,,7.0,32,1,39.0,7,21.0,25,25.0,5,3.0,3,0.0,0,0.0,1.0,1
0,1,4,0.0,,7.0,36,4,43.0,7,62.0,32,25.0,4,0.0,0,0.0,0,0.0,1.0,1
0,1,18,0.0,,9.0,24,1,33.0,7,54.0,20,20.0,4,3.0,3,3.0,0,0.0,1.0,1
1,0,62,0.0,,7.0,31,4,38.0,1,66.0,14,15.0,3,0.0,0,0.0,0,0.0,1.0,2
0,1,62,0.0,,19.0,49,4,68.0,1,11.0,15,14.0,1,0.0,0,0.0,0,0.0,1.0,2
0,0,62,0.0,,1.0,19,4,20.0,1,73.0,19,18.0,3,1.0,2,0.0,0,0.0,1.0,2
1,4,62,0.0,,9.0,22,4,31.0,1,11.0,17,15.0,1,2.0,1,1.0,0,0.0,1.0,2
0,0,62,1.0,,37.0,30,4,67.0,1,11.0,28,18.0,1,0.0,0,0.0,0,1.0,1.0,2
0,0,62,0.0,,8.0,18,4,26.0,1,11.0,15,15.0,3,0.0,2,0.0,0,0.0,1.0,2
0,2,102,0.0,2.0,7.0,26,2,33.0,1,72.0,24,14.0,3,2.0,2,0.0,0,0.0,1.0,2
1,1,62,1.0,,,26,4,,1,,19,20.0,1,,0,5.0,0,,,2
0,0,62,0.0,,9.0,25,4,34.0,1,66.0,16,16.0,1,1.0,0,0.0,0,0.0,1.0,2
0,1,3,0.0,,16.0,20,4,36.0,1,11.0,14,14.0,2,1.0,0,0.0,0,0.0,1.0,2
1,0,62,0.0,,10.0,25,4,35.0,1,11.0,17,15.0,2,1.0,1,0.0,0,0.0,1.0,2
0,2,62,0.0,,5.0,15,4,20.0,1,11.0,13,14.0,2,2.0,1,0.0,0,0.0,1.0,2
0,1,3,0.0,,20.0,36,4,56.0,1,62.0,15,13.0,2,0.0,0,5.0,0,1.0,1.0,2
1,2,62,1.0,2.0,,21,4,,1,,13,14.0,1,,1,5.0,0,,,2
1,1,102,1.0,,12.0,25,4,37.0,1,11.0,15,14.0,1,2.0,1,0.0,0,0.0,1.0,2
0,5,208,0.0,,,49,2,,3,,21,19.0,5,,3,0.0,0,,,1
1,2,112,0.0,2.0,10.0,24,3,34.0,3,66.0,16,15.0,5,2.0,2,0.0,0,0.0,1.0,1
1,3,208,0.0,0.0,,48,96,,3,,20,16.0,3,,1,0.0,0,,,1
0,0,149,0.0,2.0,4.0,30,2,34.0,3,73.0,20,19.0,5,2.0,2,0.0,2,0.0,1.0,1
0,0,166,0.0,1.0,7.0,30,1,37.0,3,73.0,17,17.0,5,1.0,2,0.0,0,0.0,1.0,1
0,1,195,0.0,2.0,6.0,21,2,27.0,3,82.0,20,19.0,5,2.0,2,0.0,0,0.0,1.0,1
1,2,185,0.0,1.0,9.0,30,1,39.0,3,96.0,21,17.0,4,2.0,2,0.0,1,0.0,1.0,1
1,3,189,0.0,2.0,17.0,30,1,47.0,3,22.0,16,16.0,3,3.0,2,1.0,1,0.0,1.0,1
0,2,189,0.0,2.0,10.0,33,2,43.0,3,66.0,19,17.0,4,2.0,1,2.0,0,1.0,1.0,1
1,0,232,,1.0,,46,96,,3,,23,14.0,2,,0,0.0,0,,,1
0,0,190,0.0,0.0,11.0,32,1,43.0,3,33.0,15,17.0,5,3.0,2,0.0,0,0.0,1.0,1
0,0,179,0.0,,6.0,22,1,28.0,3,66.0,19,15.0,4,2.0,1,0.0,0,0.0,1.0,1
0,0,155,0.0,,21.0,43,1,64.0,3,82.0,29,21.0,4,2.0,3,0.0,0,0.0,1.0,1
0,1,179,1.0,2.0,10.0,35,2,45.0,3,43.0,19,16.0,5,2.0,2,0.0,0,0.0,1.0,1
0,1,193,0.0,2.0,3.0,29,1,32.0,3,46.0,20,21.0,4,2.0,2,0.0,0,0.0,1.0,1
0,0,190,0.0,2.0,4.0,34,1,38.0,3,54.0,20,21.0,3,2.0,2,0.0,0,0.0,1.0,1
0,0,3,0.0,,3.0,32,4,35.0,12,72.0,15,20.0,5,3.0,2,0.0,0,0.0,1.0,1
0,3,4,0.0,,,28,4,,12,,15,16.0,4,,0,2.0,0,,,1
0,0,4,0.0,,14.0,38,4,52.0,12,62.0,20,20.0,4,0.0,0,0.0,0,0.0,1.0,1
0,0,3,0.0,,5.0,23,4,28.0,12,62.0,22,22.0,3,2.0,0,0.0,0,0.0,2.0,1
0,0,4,0.0,,10.0,45,4,55.0,12,0.0,14,15.0,4,,0,0.0,2,0.0,1.0,1
0,0,1,0.0,,12.0,26,4,38.0,12,62.0,19,20.0,5,2.0,0,0.0,0,0.0,1.0,1
1,2,262,0.0,,,19,4,,12,,16,16.0,4,,0,0.0,0,,,1
0,1,3,0.0,,12.0,27,4,39.0,12,23.0,22,22.0,5,3.0,2,0.0,0,0.0,1.0,1
0,3,3,0.0,,0.0,31,4,31.0,12,72.0,12,14.0,5,,0,0.0,0,0.0,1.0,1
0,1,18,0.0,1.0,3.0,27,2,30.0,7,11.0,19,,1,1.0,1,0.0,0,0.0,1.0,2
0,1,18,0.0,,24.0,18,4,42.0,7,66.0,17,17.0,2,0.0,0,0.0,0,1.0,1.0,2
0,1,18,0.0,,10.0,25,1,35.0,7,11.0,22,21.0,2,2.0,2,0.0,0,0.0,1.0,2
0,1,18,0.0,,13.0,27,1,40.0,7,33.0,18,17.0,3,3.0,2,0.0,0,0.0,1.0,2
0,0,14,0.0,,7.0,19,4,26.0,7,66.0,15,14.0,1,1.0,0,0.0,0,0.0,1.0,2
0,0,18,0.0,,5.0,37,4,42.0,7,11.0,18,17.0,1,2.0,2,0.0,0,1.0,1.0,2
0,0,18,1.0,,8.0,25,1,33.0,7,11.0,19,16.0,2,2.0,2,0.0,0,0.0,1.0,2
0,0,18,0.0,,21.0,36,1,57.0,7,11.0,19,16.0,3,1.0,0,0.0,0,2.0,1.0,2
0,0,3,0.0,,21.0,49,4,70.0,7,12.0,13,13.0,2,0.0,0,0.0,3,0.0,2.0,2
0,0,18,0.0,,4.0,28,1,32.0,7,11.0,18,17.0,1,1.0,1,0.0,0,0.0,1.0,2
1,0,18,0.0,2.0,6.0,31,1,37.0,7,11.0,15,15.0,2,0.0,0,0.0,1,0.0,1.0,2
0,0,18,0.0,,5.0,23,1,28.0,7,11.0,22,19.0,1,0.0,2,0.0,0,0.0,1.0,2
0,0,18,0.0,,10.0,40,1,50.0,7,11.0,16,16.0,1,0.0,0,0.0,0,0.0,1.0,2
0,2,173,,0.0,2.0,23,2,25.0,8,11.0,15,13.0,2,1.0,1,0.0,1,0.0,1.0,1
0,1,173,1.0,0.0,3.0,35,1,38.0,8,78.0,14,14.0,2,1.0,1,0.0,0,0.0,1.0,1
0,4,173,1.0,2.0,8.0,24,1,32.0,8,66.0,19,17.0,3,1.0,2,0.0,0,0.0,2.0,1
1,3,173,0.0,2.0,2.0,16,2,18.0,8,66.0,15,15.0,2,1.0,1,0.0,0,0.0,1.0,1
1,2,996,0.0,2.0,4.0,26,1,30.0,8,11.0,24,16.0,3,1.0,1,4.0,0,0.0,1.0,1
